```
| Commune                      | Actif  | Passif | Rest  | Droit de succession |
|------------------------------|--------|--------|-------|---------------------|
| Archennes                    | 1000   | 200    | 800   | 100                 |
| Autre-Église                 | 1500   | 300    | 1200  | 150                 |
| Baisy-Thy                    | 2000   | 500    | 1500  | 200                 |
| Baulers                      | 2500   | 700    | 1800  | 250                 |
| Beauvechain                  | 3000   | 1000   | 2000  | 300                 |
| Bierges                      | 3500   | 1200   | 2300  | 350                 |
| Bierghes                     | 4000   | 1500   | 2500  | 400                 |
| Biez                         | 4500   | 1700   | 2800  | 450                 |
| Bomal                        | 5000   | 2000   | 3000  | 500                 |
| Bonlez                       | 5500   | 2200   | 3300  | 550                 |
| Bornival                     | 6000   | 2500   | 3500  | 600                 |
| Bossut-Gottechain            | 6500   | 2700   | 3800  | 650                 |
| Bousval                      | 7000   | 3000   | 4000  | 700                 |
| Braine-l'Alleud              | 7500   | 3200   | 4300  | 750                 |
| Braine-le-Château            | 8000   | 3500   | 4500  | 800                 |
| Céroux-Mousty                | 8500   | 3700   | 4800  | 850                 |
| Chastre-Villeroux-Blanmont   | 9000   | 4000   | 5000  | 900                 |
| Chaumont-Gistoux             | 9500   | 4200   | 5300  | 950                 |
| Clabecq                      | 10000  | 4500   | 5500  | 1000                |
| Corbais                      | 10500  | 4700   | 5800  | 1050                |
| Corroy-le-Grand              | 11000  | 5000   | 6000  | 1100                |
| Cortil-Noirmont              | 11500  | 5200   | 6300  | 1150                |
| Court-Saint-Étienne          | 12000  | 5500   | 6500  | 1200                |
| Couture-Saint-Germain        | 12500  | 5700   | 6800  | 1250                |
| Dion-le-Mont                 | 13000  | 6000   | 7000  | 1300                |
| Dion-le-Val                  | 13500  | 6200   | 7300  | 1350                |
| Dongelberg                   | 14000  | 6500   | 7500  | 1400                |
| Énines                       | 14500  | 6700   | 7800  | 1450                |
| Folx-les-Caves               | 15000  | 7000   | 8000  | 1500                |
| Geest-Gérompont-Petit-Rosière| 15500  | 7200   | 8300  | 1550                |
| Genappe                      | 16000  | 7500   | 8500  | 1600                |
| Gentinnes                    | 16500  | 7700   | 8800  | 1650                |
| Genval                       | 17000  | 8000   | 9000  | 1700                |
| Glabais                      | 17500  | 8200   | 9300  | 1750                |
| Glimes                       | 18000  | 8500   | 9500  | 1800                |
| Grand-Rosière-Hottomont      | 18500  | 8700   | 9800  | 1850                |
| Grez-Doiceau                 | 19000  | 9000   | 100
