,id,cer
0,1_0,0.8142681426814268
1,1_1,0.8780487804878049
2,1_2,0.6341463414634146
3,1_3,0.7407407407407407
4,1_4,0.8275862068965517
5,1_5,0.7027027027027027
6,1_6,0.65
7,1_7,0.5918367346938775
8,1_8,0.6222222222222222
9,1_9,0.6923076923076923
10,1_10,0.7368421052631579
11,1_11,0.8148148148148148
12,1_12,0.5945945945945946
13,1_13,1.4307692307692308
14,2_0,0.8142681426814268
15,2_1,1.0
16,2_2,0.7412587412587412
17,2_3,0.7425742574257426
18,2_4,0.719626168224299
19,2_5,0.8947368421052632
20,2_6,0.7295081967213115
21,2_7,0.7777777777777778
22,2_8,0.8
23,2_9,0.8333333333333334
24,2_10,0.6571428571428571
25,2_11,0.7851239669421488
26,2_12,0.75
27,2_13,0.8611111111111112
28,2_14,1.792
29,3_0,0.8154981549815498
30,3_1,0.7567567567567568
31,3_2,0.7815126050420168
32,3_3,0.7021276595744681
33,3_4,0.8055555555555556
34,3_5,0.6222222222222222
35,3_6,0.6226415094339622
36,3_7,0.7348484848484849
37,3_8,0.7238095238095238
38,3_9,0.7142857142857143
39,3_10,0.768595041322314
40,3_11,0.8461538461538461
41,3_12,0.8152173913043478
42,3_13,5.305555555555555
43,4_0,0.8105781057810578
44,4_1,0.7777777777777778
45,4_2,0.768
46,4_3,0.7207207207207207
47,4_4,0.7894736842105263
48,4_5,0.6
49,4_6,0.7480916030534351
50,4_7,0.7435897435897436
51,4_8,0.6578947368421053
52,4_9,0.7608695652173914
53,4_10,0.6
54,4_11,0.6796116504854369
55,4_12,0.8135593220338984
56,4_13,3.62
57,5_0,0.8265682656826568
58,5_1,0.25
59,5_2,0.762589928057554
60,5_3,0.7716535433070866
61,5_4,0.7758620689655172
62,5_5,0.6966292134831461
63,5_6,0.6494845360824743
64,5_7,0.65
65,5_8,0.7638888888888888
66,5_9,0.75
67,5_10,0.6756756756756757
68,5_11,0.7478991596638656
69,5_12,0.8495575221238938
70,5_13,0.7555555555555555
71,5_14,1.736842105263158
72,6_0,0.8044280442804428
73,6_1,1.0
74,6_2,0.6810344827586207
75,6_3,0.6176470588235294
76,6_4,0.7777777777777778
77,6_5,0.8333333333333334
78,6_6,0.85
79,6_7,0.6989247311827957
80,6_8,0.6578947368421053
81,6_9,0.6739130434782609
82,6_10,0.6949152542372882
83,6_11,0.75
84,6_12,0.8295454545454546
85,6_13,0.6578947368421053
86,6_14,0.5614035087719298
87,7_0,0.8179581795817958
88,7_1,0.7878787878787878
89,7_2,0.7207792207792207
90,7_3,0.75
91,7_4,0.5607476635514018
92,7_5,0.6388888888888888
93,7_6,0.7555555555555555
94,7_7,0.8484848484848485
95,7_8,0.7777777777777778
96,7_9,0.8333333333333334
97,7_10,0.7631578947368421
98,7_11,0.8461538461538461
99,7_12,0.6842105263157895
100,7_13,0.7129629629629629
101,8_0,0.8191881918819188
102,8_1,0.75
103,8_2,0.7441860465116279
104,8_3,0.6967213114754098
105,8_4,0.6792452830188679
106,8_5,0.6949152542372882
107,8_6,0.7101449275362319
108,8_7,0.8425925925925926
109,8_8,0.7333333333333333
110,8_9,0.6909090909090909
111,8_10,0.8557692307692307
112,8_11,0.7383177570093458
113,8_12,0.8
114,8_13,2.4423076923076925
115,9_0,0.8167281672816729
116,9_1,0.7045454545454546
117,9_2,0.7218045112781954
118,9_3,0.7619047619047619
119,9_4,0.8292682926829268
120,9_5,0.7619047619047619
121,9_6,0.7142857142857143
122,9_7,0.6666666666666666
123,9_8,0.7659574468085106
124,9_9,0.784
125,9_10,0.7166666666666667
126,9_11,0.6666666666666666
127,9_12,0.7142857142857143
128,9_13,2.888888888888889
129,10_0,0.8105781057810578
130,10_1,0.6216216216216216
131,10_2,0.8014184397163121
132,10_3,0.8421052631578947
133,10_4,0.734375
134,10_5,0.8055555555555556
135,10_6,0.7322834645669292
136,10_7,0.7191011235955056
137,10_8,0.6857142857142857
138,10_9,0.9722222222222222
139,10_10,0.6875
140,10_11,0.6111111111111112
141,10_12,0.7358490566037735
142,10_13,2.217948717948718
143,11_0,0.8154981549815498
144,11_1,0.8333333333333334
145,11_2,0.7428571428571429
