model,id,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length
gpt_one_example,1_0,0.3717997834506294,"[0.9175257731958762, 0.7291666666666666, 0.5894736842105263, 0.46808510638297873]",0.5672187147811254,0.6381578947368421,97.0,152.0
gpt_one_example,1_2,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_3,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,27.0,27.0
gpt_one_example,1_4,0.21363152815199038,"[0.625, 0.3333333333333333, 0.21428571428571427, 0.07692307692307693]",0.8824969025845955,0.8888888888888888,16.0,18.0
gpt_one_example,1_5,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,1_6,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_7,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_8,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_9,0.25067269864739034,"[0.6666666666666666, 0.35, 0.2631578947368421, 0.16666666666666666]",0.788127627745311,0.8076923076923077,21.0,26.0
gpt_one_example,1_10,0.0,"[0.47368421052631576, 0.05555555555555555, 0.0, 0.0]",1.0,1.0,19.0,19.0
gpt_one_example,1_11,0.0,"[0.45, 0.15789473684210525, 0.05555555555555555, 0.0]",0.9048374180359595,0.9090909090909091,20.0,22.0
gpt_one_example,1_12,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,1_13,0.0,"[0.5, 0.21739130434782608, 0.045454545454545456, 0.0]",0.846481724890614,0.8571428571428571,24.0,28.0
gpt_one_example,2_0,0.32673576193394,"[0.9101123595505618, 0.75, 0.6091954022988506, 0.46511627906976744]",0.4926948960943648,0.5855263157894737,89.0,152.0
gpt_one_example,2_1,0.0,"[1.0, 0.0, 0.0, 0.0]",0.36787944117144233,0.5,1.0,2.0
gpt_one_example,2_2,0.0,"[0.5, 0.14285714285714285, 0.0, 0.0]",0.7613003866968737,0.7857142857142857,22.0,28.0
gpt_one_example,2_3,0.0,"[0.5555555555555556, 0.29411764705882354, 0.125, 0.0]",0.7574651283969664,0.782608695652174,18.0,23.0
gpt_one_example,2_4,0.0,"[0.55, 0.2631578947368421, 0.1111111111111111, 0.0]",1.0,1.0,20.0,20.0
