model,id,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length
gpt_one_example,17,0.2794098696480693,"[0.4560260586319218, 0.29411764705882354, 0.25245901639344265]",0.8636568058328686,0.8721590909090909,307,352
gpt_one_example,16,0.04822611299139126,"[0.25757575757575757, 0.1116751269035533, 0.030612244897959183]",0.5031491223733818,0.592814371257485,198,334
gpt_one_example,14,0.2999797169942297,"[0.48534201954397393, 0.3235294117647059, 0.2721311475409836]",0.8580486645261058,0.867231638418079,307,354
gpt_one_example,15,0.3145526982544824,"[0.4364820846905538, 0.3104575163398693, 0.25573770491803277]",0.9648036991628913,0.9654088050314465,307,318
gpt_one_example,11,0.30620615174897364,"[0.4006514657980456, 0.2875816993464052, 0.24918032786885247]",1.0,1.0848056537102473,307,283
gpt_one_example,10,0.29743250703315194,"[0.498371335504886, 0.31699346405228757, 0.26885245901639343]",0.8524769395929584,0.8623595505617978,307,356
gpt_one_example,12,0.26838779143147834,"[0.495114006514658, 0.3137254901960784, 0.25901639344262295]",0.7832528783571909,0.8036649214659686,307,382
gpt_one_example,13,0.2515123113264851,"[0.5342019543973942, 0.3137254901960784, 0.26229508196721313]",0.7126518868840384,0.7469586374695864,307,411
gpt_one_example,8,0.1322678755098749,"[0.7045454545454546, 0.5028571428571429, 0.42528735632183906]",0.2485663531136963,0.4180522565320665,176,421
gpt_one_example,9,0.2571856480331097,"[0.5458937198067633, 0.38349514563106796, 0.35121951219512193]",0.6139003224416526,0.672077922077922,207,308
gpt_one_example,4,0.2308665181023692,"[0.4827586206896552, 0.3333333333333333, 0.3130434782608696]",0.6251100365845775,0.6803519061583577,232,341
gpt_one_example,5,0.0,"[0.26973684210526316, 0.039735099337748346, 0.0]",0.15744419349415859,0.3510392609699769,152,433
gpt_one_example,7,0.2678387102440974,"[0.35570469798657717, 0.2760942760942761, 0.24662162162162163]",0.9257220901086983,0.9283489096573209,298,321
gpt_one_example,6,0.0,"[0.22591362126245848, 0.05333333333333334, 0.0]",0.8302349785034866,0.8431372549019608,301,357
gpt_one_example,3,0.23354708786848088,"[0.611353711790393, 0.4166666666666667, 0.3568281938325991]",0.5194307211811123,0.604221635883905,229,379
gpt_one_example,1,0.3317572963945064,"[0.5276872964169381, 0.3562091503267974, 0.26557377049180325]",0.9010139599196839,0.9056047197640118,307,339
gpt_one_example,18,0.2776786963587283,"[0.5146579804560261, 0.3202614379084967, 0.25245901639344265]",0.8013172272237893,0.8186666666666667,307,375
gpt_one_example,19,0.29792791116084816,"[0.46254071661237783, 0.3006535947712418, 0.25245901639344265]",0.9098618167593174,0.9136904761904762,307,336
claude_simple,17,0.08080735009683752,"[0.3888888888888889, 0.11155378486055777, 0.04]",0.6724514275370008,0.7159090909090909,252,352
claude_simple,16,0.03152594806083926,"[0.34285714285714286, 0.08045977011494253, 0.017341040462427744]",0.4030996695740623,0.5239520958083832,175,334
claude_simple,14,0.09511370900211093,"[0.5257731958762887, 0.20725388601036268, 0.09375]",0.4383479541842529,0.5480225988700564,194,354
claude_simple,15,0.07183847044774677,"[0.4080717488789238, 0.09009009009009009, 0.03619909502262444]",0.6531104846012732,0.7012578616352201,223,318
claude_simple,11,0.017687676061403052,"[0.19337016574585636, 0.027777777777777776, 0.00558659217877095]",0.5691928857071398,0.6395759717314488,181,283
claude_simple,10,0.044259847923572716,"[0.39751552795031053, 0.13125, 0.06289308176100629]",0.29784557716401927,0.45224719101123595,161,356
claude_simple,12,0.06864732165713054,"[0.4329896907216495, 0.06896551724137931, 0.02768166089965398]",0.7314585118788581,0.7617801047120419,291,382
claude_simple,13,0.019800651151953643,"[0.35135135135135137, 0.09523809523809523, 0.04794520547945205]",0.16914024992162346,0.36009732360097324,148,411
claude_simple,8,0.033782783987996536,"[0.43646408839779005, 0.10555555555555556, 0.0446927374301676]",0.26554609147399594,0.42992874109263657,181,421
claude_simple,9,0.0,"[0.16783216783216784, 0.007042253521126761, 0.0]",0.3154212746389477,0.4642857142857143,143,308
claude_simple,4,0.06717731866288704,"[0.1773049645390071, 0.07473309608540925, 0.04285714285714286]",0.8112168633921084,0.8269794721407625,282,341
claude_simple,5,0.050053504973445774,"[0.4187192118226601, 0.13861386138613863, 0.06467661691542288]",0.3220640223238948,0.46882217090069284,203,433
claude_simple,7,0.06229294403146118,"[0.2631578947368421, 0.06910569105691057, 0.0326530612244898]",0.7411182078088937,0.7694704049844237,247,321
claude_simple,6,0.12508819797127263,"[0.48846153846153845, 0.1583011583011583, 0.07751937984496124]",0.6886122606326943,0.7282913165266106,260,357
claude_simple,2,0.07971347995687753,"[0.38870431893687707, 0.09, 0.033444816053511704]",0.7564871232025194,0.7818181818181819,301,385
claude_simple,3,0.03440956990193874,"[0.4076086956521739, 0.1092896174863388, 0.02197802197802198]",0.3465311349977313,0.48548812664907653,184,379
claude_simple,1,0.027038330846326102,"[0.34913793103448276, 0.05194805194805195, 0.004347826086956522]",0.630522211030751,0.6843657817109144,232,339
claude_simple,18,0.027618815060751464,"[0.3978494623655914, 0.10270270270270271, 0.010869565217391304]",0.36199349669160164,0.496,186,375
claude_simple,19,0.07971643627734581,"[0.46938775510204084, 0.14871794871794872, 0.061855670103092786]",0.48954165955695317,0.5833333333333334,196,336
TrOCR,17,0.0,"[0.0, 0.0, 0.0]",3.9399095262076047e-22,0.019886363636363636,7,352
TrOCR,16,0.0,"[0.0, 0.0, 0.0]",2.335593038799337e-09,0.04790419161676647,16,334
TrOCR,14,0.0,"[0.0, 0.0, 0.0]",4.855625272365953e-31,0.014124293785310734,5,354
TrOCR,15,0.0,"[0.0, 0.0, 0.0]",2.6102790696677047e-23,0.018867924528301886,6,318
TrOCR,11,0.0,"[0.0, 0.0, 0.0]",7.132254080957731e-25,0.0176678445229682,5,283
TrOCR,10,0.0,"[0.0, 0.0, 0.0]",9.406128904299175e-16,0.028089887640449437,10,356
TrOCR,12,0.0,"[0.0, 0.0, 0.0]",3.421929432264753e-08,0.0549738219895288,21,382
TrOCR,13,0.0,"[0.07142857142857142, 0.0, 0.0]",4.837815867249721e-13,0.0340632603406326,14,411
TrOCR,8,0.0,"[0.0, 0.0, 0.0]",3.078237950560657e-61,0.007125890736342043,3,421
TrOCR,9,0.0,"[0.0, 0.0, 0.0]",1.8795288165390832e-12,0.03571428571428571,11,308
TrOCR,4,0.0,"[0.0, 0.0, 0.0]",6.537486666326857e-30,0.01466275659824047,5,341
TrOCR,5,0.0,"[0.0, 0.0, 0.0]",3.443117275306375e-10,0.04387990762124711,19,433
TrOCR,7,0.0,"[0.06666666666666667, 0.0, 0.0]",1.381632591079536e-09,0.04672897196261682,15,321
TrOCR,6,0.0,"[0.0, 0.0, 0.0]",3.924395857947463e-26,0.01680672268907563,6,357
TrOCR,2,0.0,"[0.0, 0.0, 0.0]",2.966394999334992e-08,0.05454545454545454,21,385
TrOCR,3,0.0,"[0.0, 0.0, 0.0]",7.237580408896853e-21,0.021108179419525065,8,379
TrOCR,1,0.0,"[0.0, 0.0, 0.0]",7.882359790600851e-25,0.017699115044247787,6,339
TrOCR,18,0.0,"[0.0, 0.0, 0.0]",1.4068617124461467e-16,0.02666666666666667,10,375
TrOCR,19,0.0,"[0.0, 0.0, 0.0]",1.6197667813978393e-11,0.03869047619047619,13,336
Pytesseract,17,0.1479579164650676,"[0.40705128205128205, 0.15755627009646303, 0.07419354838709677]",0.879672914909989,0.8863636363636364,312,352
Pytesseract,16,0.1463998365805702,"[0.3364485981308411, 0.134375, 0.07836990595611286]",0.9603106603212453,0.9610778443113772,321,334
Pytesseract,14,0.09091205114626096,"[0.3258064516129032, 0.09061488673139159, 0.03896103896103896]",0.8676772338565509,0.8757062146892656,310,354
Pytesseract,15,0.12150615395010037,"[0.27575757575757576, 0.11854103343465046, 0.054878048780487805]",1.0,1.0377358490566038,330,318
Pytesseract,11,0.09930725785012062,"[0.37305699481865284, 0.13541666666666666, 0.07853403141361257]",0.6273057337716005,0.6819787985865724,193,283
Pytesseract,10,0.10544356921927206,"[0.31901840490797545, 0.10461538461538461, 0.046296296296296294]",0.9120827668712705,0.9157303370786517,326,356
Pytesseract,12,0.1376903961049433,"[0.3386243386243386, 0.1246684350132626, 0.06382978723404255]",0.9894737819195992,0.9895287958115183,378,382
Pytesseract,13,0.1128173693782736,"[0.3424242424242424, 0.13677811550151975, 0.06402439024390244]",0.7823488442974154,0.8029197080291971,330,411
Pytesseract,8,0.1078268864620815,"[0.3024523160762943, 0.11202185792349727, 0.057534246575342465]",0.8631740184685696,0.8717339667458432,367,421
Pytesseract,9,0.11960692628846888,"[0.29292929292929293, 0.10135135135135136, 0.06440677966101695]",0.9636404443012863,0.9642857142857143,297,308
Pytesseract,4,0.10797506930529698,"[0.2994011976047904, 0.0990990990990991, 0.045180722891566265]",0.9792600105359978,0.9794721407624634,334,341
Pytesseract,5,0.07842058161361944,"[0.2281449893390192, 0.07051282051282051, 0.029978586723768737]",1.0,1.0831408775981524,469,433
Pytesseract,7,0.09367264448094435,"[0.29583333333333334, 0.12133891213389121, 0.06302521008403361]",0.7135519747065023,0.7476635514018691,240,321
Pytesseract,6,0.12002603549922605,"[0.2814070351758794, 0.11586901763224182, 0.05303030303030303]",1.0,1.1148459383753502,398,357
Pytesseract,2,0.09894849659465156,"[0.33, 0.12040133779264214, 0.05704697986577181]",0.7532686564546569,0.7792207792207793,300,385
Pytesseract,3,0.08773532648023923,"[0.21315192743764172, 0.07727272727272727, 0.04100227790432802]",1.0,1.1635883905013193,441,379
Pytesseract,1,0.07962068292580005,"[0.21473684210526317, 0.06540084388185655, 0.035940803382663845]",1.0,1.40117994100295,475,339
Pytesseract,18,0.09262623559861426,"[0.26756756756756755, 0.08130081300813008, 0.03804347826086957]",0.9865773841008381,0.9866666666666667,370,375
Pytesseract,19,0.10276116848587134,"[0.281437125748503, 0.09309309309309309, 0.04216867469879518]",0.9940298685319746,0.9940476190476191,334,336
claude_refine_complex,17,0.037403067831623095,"[0.2617801047120419, 0.09473684210526316, 0.026455026455026454]",0.43044662903243835,0.5426136363636364,191,352
claude_refine_complex,16,0.25483398675141145,"[0.5084033613445378, 0.3628691983122363, 0.3008474576271186]",0.6680706520223728,0.7125748502994012,238,334
claude_refine_complex,14,0.2970702757918796,"[0.6544715447154471, 0.4448979591836735, 0.3360655737704918]",0.6446650559001005,0.6949152542372882,246,354
claude_refine_complex,15,0.32347199516743347,"[0.6260162601626016, 0.4122448979591837, 0.3155737704918033]",0.7462587218075878,0.7735849056603774,246,318
claude_refine_complex,11,0.06418411404009922,"[0.23809523809523808, 0.11976047904191617, 0.07228915662650602]",0.5043303297034499,0.5936395759717314,168,283
claude_refine_complex,10,0.052413565984865504,"[0.2648401826484018, 0.0963302752293578, 0.03686635944700461]",0.5349560011786243,0.6151685393258427,219,356
claude_refine_complex,12,0.04437793899262524,"[0.352112676056338, 0.09433962264150944, 0.02843601895734597]",0.4522920271300356,0.5575916230366492,213,382
claude_refine_complex,13,0.17025815077436127,"[0.5037037037037037, 0.26765799256505574, 0.17537313432835822]",0.5932008580621294,0.656934306569343,270,411
claude_refine_complex,8,0.2176179536296282,"[0.5218978102189781, 0.3443223443223443, 0.2867647058823529]",0.584793579037453,0.6508313539192399,274,421
claude_refine_complex,9,0.047377428930177025,"[0.29069767441860467, 0.1111111111111111, 0.03529411764705882]",0.4535282698073728,0.5584415584415584,172,308
