model,id,cer
gpt_one_example,1_0,0.4022140221402214
gpt_one_example,1_2,0.0
gpt_one_example,1_3,0.0
gpt_one_example,1_4,0.367816091954023
gpt_one_example,1_5,0.0
gpt_one_example,1_6,0.0
gpt_one_example,1_7,0.0
gpt_one_example,1_8,0.0
gpt_one_example,1_9,0.2692307692307692
gpt_one_example,1_10,0.3473684210526316
gpt_one_example,1_11,0.28703703703703703
gpt_one_example,1_12,0.0
gpt_one_example,1_13,0.3769230769230769
gpt_one_example,2_0,0.44280442804428044
gpt_one_example,2_1,0.5
gpt_one_example,2_2,0.40559440559440557
gpt_one_example,2_3,0.25742574257425743
gpt_one_example,2_4,0.2616822429906542
gpt_one_example,2_5,0.0
gpt_one_example,2_6,0.3770491803278688
gpt_one_example,2_7,0.2037037037037037
gpt_one_example,2_8,0.336
gpt_one_example,2_9,0.0
gpt_one_example,2_10,0.0
gpt_one_example,2_11,0.38016528925619836
gpt_one_example,2_12,0.22
gpt_one_example,2_13,0.0
gpt_one_example,2_14,0.488
gpt_one_example,3_0,0.6346863468634686
gpt_one_example,3_1,0.3063063063063063
gpt_one_example,3_2,0.36134453781512604
gpt_one_example,3_3,0.2127659574468085
gpt_one_example,3_4,0.0
gpt_one_example,3_5,0.0
gpt_one_example,3_6,0.27358490566037735
gpt_one_example,3_7,0.4090909090909091
gpt_one_example,3_8,0.26666666666666666
gpt_one_example,3_9,0.0
gpt_one_example,3_10,0.371900826446281
gpt_one_example,3_11,0.3333333333333333
gpt_one_example,3_12,0.40217391304347827
gpt_one_example,3_13,0.0
gpt_one_example,4_0,0.5424354243542435
gpt_one_example,4_1,0.05555555555555555
gpt_one_example,4_2,0.328
gpt_one_example,4_3,0.25225225225225223
gpt_one_example,4_4,0.0
gpt_one_example,4_5,0.05
gpt_one_example,4_6,0.25190839694656486
gpt_one_example,4_7,0.16666666666666666
gpt_one_example,4_8,0.0
gpt_one_example,4_9,0.0
gpt_one_example,4_10,0.0
gpt_one_example,4_11,0.2524271844660194
gpt_one_example,4_12,0.3813559322033898
gpt_one_example,4_13,0.2
gpt_one_example,5_0,0.5928659286592866
gpt_one_example,5_1,0.0
gpt_one_example,5_2,0.31654676258992803
gpt_one_example,5_3,0.4566929133858268
gpt_one_example,5_4,0.4051724137931034
gpt_one_example,5_5,0.2696629213483146
gpt_one_example,5_6,0.26804123711340205
gpt_one_example,5_7,0.0
gpt_one_example,5_8,0.22916666666666666
gpt_one_example,5_9,0.375
gpt_one_example,5_10,0.0
gpt_one_example,5_11,0.3865546218487395
gpt_one_example,5_12,0.11504424778761062
gpt_one_example,5_13,0.4
gpt_one_example,5_14,0.17543859649122806
gpt_one_example,6_0,0.4046740467404674
gpt_one_example,6_1,0.75
gpt_one_example,6_2,0.1896551724137931
gpt_one_example,6_3,0.27722772277227725
gpt_one_example,6_4,0.4126984126984127
gpt_one_example,6_5,0.4166666666666667
gpt_one_example,6_6,0.0
gpt_one_example,6_7,0.20430107526881722
gpt_one_example,6_8,0.13157894736842105
gpt_one_example,6_9,0.0
gpt_one_example,6_10,0.2033898305084746
