model,id,cer
claude_one_example,17,0.749238578680203
claude_one_example,16,0.6831364124597207
claude_one_example,14,0.6142719382835101
claude_one_example,15,0.6473859844271412
claude_one_example,11,1.1163475699558174
claude_one_example,10,0.6311557788944724
claude_one_example,12,0.6850180505415162
claude_one_example,13,0.7243107769423559
claude_one_example,8,0.7001594896331739
claude_one_example,9,0.8288834951456311
claude_one_example,4,0.9202898550724637
claude_one_example,5,0.7116788321167883
claude_one_example,7,0.9512459371614301
claude_one_example,6,0.6808118081180812
claude_one_example,3,0.642602495543672
claude_one_example,1,0.8439716312056738
claude_one_example,18,0.6477477477477478
claude_one_example,19,0.5975877192982456
claude_two_example,17,0.17258883248730963
claude_two_example,16,0.15574650912996776
claude_two_example,14,0.18129218900675023
claude_two_example,15,0.12013348164627363
claude_two_example,11,0.16200294550810015
claude_two_example,10,0.20603015075376885
claude_two_example,12,0.4305054151624549
claude_two_example,13,0.3533834586466165
claude_two_example,8,0.23046251993620415
claude_two_example,9,0.14441747572815533
claude_two_example,4,0.17908902691511386
claude_two_example,5,0.22189781021897811
claude_two_example,7,0.17009750812567714
claude_two_example,6,0.25830258302583026
claude_two_example,2,0.014778325123152709
claude_two_example,3,0.004456327985739751
claude_two_example,1,0.1590678824721378
claude_two_example,20,0.12848484848484848
claude_two_example,18,0.3387387387387387
claude_two_example,19,0.20942982456140352
gpt_one_example,17,0.8974619289340101
gpt_one_example,16,0.7722878625134264
gpt_one_example,14,0.8379942140790743
gpt_one_example,15,0.9054505005561735
gpt_one_example,11,1.2577319587628866
gpt_one_example,10,0.8502512562814071
gpt_one_example,12,0.7915162454873647
gpt_one_example,13,0.7719298245614035
gpt_one_example,8,0.7392344497607656
gpt_one_example,9,0.741504854368932
gpt_one_example,4,0.7070393374741201
gpt_one_example,5,0.7116788321167883
gpt_one_example,7,0.9068255687973997
gpt_one_example,6,1.018450184501845
gpt_one_example,3,0.660427807486631
gpt_one_example,1,0.8257345491388045
gpt_one_example,18,0.8018018018018018
gpt_one_example,19,0.9166666666666666
gpt_two_example,17,1.1928934010152283
gpt_two_example,16,1.4532760472610096
gpt_two_example,14,0.8428158148505304
gpt_two_example,15,1.2981090100111234
gpt_two_example,11,2.1148748159057438
gpt_two_example,10,1.2663316582914572
gpt_two_example,12,1.2030685920577617
gpt_two_example,13,0.9256474519632414
gpt_two_example,8,0.7376395534290271
gpt_two_example,9,0.8883495145631068
gpt_two_example,4,0.4606625258799172
gpt_two_example,5,0.5620437956204379
gpt_two_example,7,1.5536294691224268
gpt_two_example,6,0.5599630996309963
gpt_two_example,2,0.6896551724137931
gpt_two_example,3,0.0
gpt_two_example,1,1.1124620060790273
gpt_two_example,20,1.5975757575757576
gpt_two_example,18,0.7171171171171171
gpt_two_example,19,0.6370614035087719
